broker_id,side,side_label,n_events,valid_5d,n_stocks,n_dates,total_abs_net_B,median_abs_net_M,mean_purity,win_rate_5d,mean_direction_ret_5d,median_direction_ret_5d,win_rate_10d,mean_direction_ret_10d,score,is_high_win,broker_name,rank
918W,buy,買超做多,10,10,3,10,2.226598003,224.1864,0.9942997464935288,0.9,0.0251372909219877,0.0547708783991665,0.9,0.059733243833813,42.51372909219877,True,群益金鼎-忠孝,1
9608,buy,買超做多,5,5,5,5,0.638796005,132.873,0.981300560139384,0.8,0.0621370034021808,0.0433070866141732,1.0,0.0809259476590762,36.21370034021808,True,富邦-台東,2
700I,buy,買超做多,35,35,1,35,7.082805278,153.8395,0.9988592896788704,0.8285714285714286,0.0087189297148831,0.0079250303696419,0.7428571428571429,0.0140490639254275,33.729035828631176,True,兆豐-北高雄,3
9309,buy,買超做多,14,14,7,14,2.0823910536,153.84970655,0.8597532241841884,0.7142857142857143,0.0564095826203904,0.057937720463848,0.7142857142857143,0.0531299420380173,27.069529690610477,True,華南永昌-古亭,4
920D,buy,買超做多,8,8,3,8,1.135060654,130.40646,0.9842389064743012,0.75,0.0136499939085362,0.0086660683766294,0.625,0.0552404255964899,26.364999390853622,True,凱基-市府,5
9359,buy,買超做多,27,27,17,26,4.9726969409,138.5279,0.9477915203012944,0.7037037037037037,0.0323440283850867,0.0201117741346226,0.7407407407407407,0.0622170300037185,23.604773208879053,True,華南永昌-中正,6
585c,buy,買超做多,30,30,18,30,4.94840891495,135.3726525,0.976383717827611,0.6666666666666666,0.062051000743559,0.0533213069139116,0.7666666666666667,0.0932833571478982,22.871766741022572,True,統一-仁愛,7
9B2D,buy,買超做多,15,15,12,15,2.409530944,133.988265,0.9279817201137696,0.6666666666666666,0.0593699146598303,0.0177105974393959,0.6666666666666666,0.0741092885818299,22.603658132649706,True,台新-大昌,8
111E,buy,買超做多,13,13,12,12,1.48928133885,109.84451,0.9849343060263164,0.6923076923076923,0.0234136141229325,0.0275007828648608,0.4615384615384615,0.0092590354195231,21.572130643062486,True,臺灣企銀-桃園,9
9812,buy,買超做多,42,42,32,40,6.544455978799999,144.5737725,0.8964147692455826,0.6428571428571429,0.0681415207712237,0.0496775380980265,0.7142857142857143,0.0697870282720171,21.099866362836664,True,元大-台中,10
9647,buy,買超做多,15,15,8,15,1.984091263,119.10875,0.9386516385838648,0.6666666666666666,0.0421638448329962,0.0320804523958469,0.7333333333333333,0.0528575959456104,20.883051149966292,True,富邦-新竹,11
7003,buy,買超做多,8,8,8,8,0.9404733075,114.55851625,0.9881095793746804,0.625,0.0747462380065727,0.0189424732427756,0.5,0.0647703616658472,19.97462380065727,True,兆豐-台中,12
980h,buy,買超做多,6,6,6,6,0.745794583,119.268175,0.9269365211237404,0.6666666666666666,0.0226565379187387,0.0127137581173986,0.6666666666666666,0.0462869947207672,18.93232045854054,True,元大-台北,13
9B2E,buy,買超做多,53,53,27,52,11.8499693279,144.8722,0.9511758111928144,0.6415094339622641,0.0396675311925365,0.0231607525497609,0.5094339622641509,0.0207251668803928,18.117696515480063,True,台新-城中,14
9A8F,buy,買超做多,28,28,20,25,4.693460200600001,135.061251,0.9332824879502252,0.6071428571428571,0.0375372928682431,0.0083922446340408,0.6428571428571429,0.0348607816386443,14.468015001110023,True,永豐金-敦南,15
9667,buy,買超做多,30,30,2,30,5.4641728535,170.89419875,0.9964215822055078,0.6333333333333333,0.0050444312972576,0.0060776958701606,0.5666666666666667,0.0101680327130108,13.837776463059097,True,富邦-台南,16
9816,buy,買超做多,5,5,4,5,0.5710874288000001,114.56254830000007,0.8389856341478948,0.6,0.0314531605028984,0.0747724700116513,0.4,-0.0263979265221667,13.14531605028984,True,元大-新竹,17
8565,buy,買超做多,5,5,3,5,1.002715685,198.4417045,0.9870565911990185,0.6,0.0205643498672152,0.001033419386566,0.4,-0.0003745465188508,12.056434986721523,True,新光-桃園,18
9227,buy,買超做多,74,74,59,61,10.8048079748,128.003131125,0.9151629527003966,0.581081081081081,0.0301247498566125,0.0260336547375836,0.5945945945945946,0.0423039670797195,11.120583093769362,True,凱基-城中,19
989N,buy,買超做多,37,37,14,36,7.276770855950001,186.5758905,0.9425733571104716,0.5675675675675675,0.0421498750701214,0.0196606902728937,0.6216216216216216,0.0757083791850241,10.971744263768896,True,元大-內湖,20
779v,buy,買超做多,46,46,25,42,7.9859148675,157.8075,0.9360586342748556,0.5652173913043478,0.0433144728769486,0.0195239856739317,0.6304347826086957,0.0373453897224858,10.853186418129644,True,國票-台中,21
1230,buy,買超做多,5,5,3,5,0.6083485,119.98399999999998,0.9985377854991638,0.6,0.002637248077332,0.0041372125902224,0.6,0.0100795697540712,10.2637248077332,True,彰銀,22
9B1h,buy,買超做多,7,7,6,7,0.7859972112000001,108.204901,0.8929216606827224,0.5714285714285714,0.0309862218683575,0.0518930418525589,0.5714285714285714,0.0410735316304569,10.241479329692895,True,台新-台中,23
9801,buy,買超做多,7,7,5,7,1.4003302077,123.12747,0.971876561568666,0.5714285714285714,0.0154530223266214,0.0126347806634906,0.2857142857142857,0.0020392651215663,8.68815937551928,True,元大-松江,24
9661,buy,買超做多,138,138,63,118,27.20275362505,165.28260515,0.9255123144935308,0.5579710144927537,0.0191637649782841,0.0060553905587817,0.5579710144927537,0.0189128742633291,7.713477947103783,True,富邦-新店,25
918X,buy,買超做多,9,9,8,9,1.21013695,119.5607,0.8582901877280386,0.5555555555555556,0.0025030932467865,0.0043348328610352,0.3333333333333333,-0.037317459415182,5.805864880234215,True,群益金鼎-台北,26
